NOC,Year,Athletics,Balls,Combat,Shooting,Swimming,Cycling,Weightlifting,WaterSport,Others,Gymnastics,Diving
AFG,1936,3,13,0,0,0,0,0,0,0,0,0
AFG,1948,0,25,0,0,0,0,0,0,0,0,0
AFG,1956,0,12,0,0,0,0,0,0,0,0,0
AFG,1960,9,0,7,0,0,0,0,0,0,0,0
AFG,1964,0,0,8,0,0,0,0,0,0,0,0
AFG,1968,0,0,5,0,0,0,0,0,0,0,0
AFG,1972,0,0,8,0,0,0,0,0,0,0,0
AFG,1980,0,0,11,0,0,0,0,0,0,0,0
AFG,1988,0,0,5,0,0,0,0,0,0,0,0
AFG,1996,2,0,0,0,0,0,0,0,0,0,0
AFG,2004,2,0,3,0,0,0,0,0,0,0,0
AFG,2008,2,0,2,0,0,0,0,0,0,0,0
AFG,2012,2,0,4,0,0,0,0,0,0,0,0
AFG,2016,2,0,1,0,0,0,0,0,0,0,0
AFG,2020,2,0,1,1,1,0,0,0,0,0,0
AFG,2024,2,0,1,0,1,3,0,0,0,0,0
AHO,1952,0,11,0,0,0,0,0,0,0,0,0
AHO,1960,0,0,0,0,0,0,5,0,0,0,0
AHO,1964,0,0,1,0,0,0,3,0,0,0,0
AHO,1968,0,0,3,0,0,0,2,0,0,0,0
AHO,1972,0,0,0,1,0,0,1,0,0,0,0
AHO,1976,2,0,2,0,0,0,0,0,0,0,0
AHO,1984,4,0,0,0,9,0,0,0,0,0,0
AHO,1988,0,0,0,1,2,0,0,1,0,0,0
AHO,1992,1,0,0,1,0,0,0,2,0,0,0
AHO,1996,1,0,1,2,1,0,0,2,0,0,0
AHO,2000,2,0,0,1,2,0,0,1,2,0,0
AHO,2004,2,0,0,0,0,0,0,0,1,0,0
AHO,2008,2,0,0,1,1,0,0,0,0,0,0
AIN,2024,0,14,3,2,7,7,2,8,0,3,0
ALB,1972,0,0,0,4,0,0,1,0,0,0,0
ALB,1992,1,0,0,2,3,0,3,0,0,0,0
ALB,1996,2,0,1,4,0,1,1,0,0,0,0
ALB,2000,2,0,0,2,0,0,1,0,0,0,0
ALB,2004,2,0,1,0,2,0,2,0,0,0,0
ALB,2008,2,0,3,2,2,0,3,0,0,0,0
